Timestamp,Angle,Buzzer
154327,90,OFF
154447,90,OFF
154568,81,OFF
154690,85,OFF
154811,85,OFF
154933,85,OFF
155054,90,OFF
155174,90,OFF
155296,85,OFF
155417,85,OFF
155538,90,OFF
155660,85,OFF
155781,90,OFF
155901,90,OFF
156023,90,OFF
156144,90,OFF
156266,85,OFF
156387,85,OFF
156508,85,OFF
156630,90,OFF
156750,90,OFF
156871,90,OFF
156993,85,OFF
157114,81,OFF
157236,85,OFF
157357,85,OFF
157477,85,OFF
157599,85,OFF
157720,81,OFF
157841,85,OFF
157963,85,OFF
158084,90,OFF
158205,90,OFF
158326,85,OFF
158447,85,OFF
158569,90,OFF
158690,90,OFF
158811,85,OFF
158932,85,OFF
159053,90,OFF
159174,85,OFF
159296,85,OFF
159417,85,OFF
159539,85,OFF
159660,85,OFF
159780,85,OFF
159902,85,OFF
160023,90,OFF
160145,85,OFF
160266,85,OFF
160387,90,OFF
160508,94,OFF
160629,90,OFF
160750,90,OFF
160872,85,OFF
160993,85,OFF
161114,90,OFF
161235,81,OFF
161356,85,OFF
161478,85,OFF
161599,90,OFF
161720,85,OFF
161842,85,OFF
161963,85,OFF
162083,85,OFF
162205,85,OFF
162326,85,OFF
162448,85,OFF
162569,85,OFF
162690,85,OFF
162811,85,OFF
162932,85,OFF
163053,90,OFF
163175,85,OFF
163296,90,OFF
163418,85,OFF
163538,85,OFF
163659,85,OFF
163781,90,OFF
163902,81,OFF
164024,90,OFF
164145,85,OFF
164265,85,OFF
164387,85,OFF
164508,85,OFF
164629,85,OFF
164751,85,OFF
164872,85,OFF
164993,85,OFF
165114,81,OFF
165235,72,OFF
165357,85,OFF
165478,85,OFF
165599,85,OFF
165721,85,OFF
165841,85,OFF
165962,90,OFF
166084,90,OFF
166205,85,OFF
166327,90,OFF
166448,85,OFF
166568,85,OFF
166690,85,OFF
166811,85,OFF
166932,85,OFF
167054,85,OFF
167175,90,OFF
167297,90,OFF
167417,85,OFF
167538,90,OFF
167660,85,OFF
167781,85,OFF
167902,85,OFF
168024,85,OFF
168144,85,OFF
168266,85,OFF
168387,85,OFF
168508,85,OFF
168630,85,OFF
168751,85,OFF
168871,85,OFF
168993,90,OFF
169114,90,OFF
169235,90,OFF
169357,85,OFF
169478,81,OFF
169600,85,OFF
169720,85,OFF
169841,85,OFF
169963,85,OFF
170084,85,OFF
170206,90,OFF
170327,81,OFF
170447,81,OFF
170569,81,OFF
170690,90,OFF
170811,85,OFF
170933,85,OFF
171054,90,OFF
171174,85,OFF
171296,85,OFF
171417,85,OFF
171539,81,OFF
171660,85,OFF
171781,85,OFF
171902,85,OFF
172023,85,OFF
172144,85,OFF
172266,85,OFF
172387,85,OFF
172509,90,OFF
172630,85,OFF
172750,85,OFF
172872,85,OFF
172993,85,OFF
173114,90,OFF
173236,85,OFF
173357,90,OFF
173478,85,OFF
173599,85,OFF
173720,90,OFF
173842,85,OFF
173963,85,OFF
174084,85,OFF
174205,90,OFF
174326,85,OFF
174447,81,OFF
174569,90,OFF
174690,85,OFF
174812,90,OFF
174932,85,OFF
175053,85,OFF
175175,90,OFF
175296,85,OFF
175417,90,OFF
175539,90,OFF
175660,85,OFF
175781,85,OFF
175902,85,OFF
176023,90,OFF
176145,85,OFF
176266,85,OFF
176387,90,OFF
176508,85,OFF
176629,90,OFF
176751,85,OFF
176872,90,OFF
176993,90,OFF
177115,85,OFF
177235,85,OFF
177356,85,OFF
177478,85,OFF
177599,85,OFF
177721,85,OFF
177842,85,OFF
177963,85,OFF
178084,90,OFF
178205,85,OFF
178326,90,OFF
178448,85,OFF
178569,90,OFF
178691,81,OFF
178811,90,OFF
178932,85,OFF
179054,85,OFF
179175,90,OFF
179296,90,OFF
179418,85,OFF
179538,85,OFF
179659,90,OFF
179781,90,OFF
179902,85,OFF
180024,85,OFF
180145,90,OFF
180265,81,OFF
180387,90,OFF
180508,90,OFF
180629,90,OFF
180751,81,OFF
180872,85,OFF
180993,90,OFF
181114,85,OFF
181235,85,OFF
181357,85,OFF
181478,85,OFF
181599,85,OFF
181721,85,OFF
181841,90,OFF
181962,90,OFF
182084,90,OFF
182205,85,OFF
182327,81,OFF
182448,90,OFF
182568,90,OFF
182690,90,OFF
182811,85,OFF
182932,85,OFF
183054,85,OFF
183175,85,OFF
183297,85,OFF
183417,85,OFF
183538,90,OFF
183660,90,OFF
183781,85,OFF
183902,85,OFF
184024,81,OFF
184144,81,OFF
184265,85,OFF
184387,85,OFF
184508,85,OFF
184630,90,OFF
184751,85,OFF
184871,85,OFF
184993,81,OFF
185114,85,OFF
185235,90,OFF
185357,85,OFF
185478,85,OFF
185600,85,OFF
185720,85,OFF
185841,90,OFF
185963,85,OFF
186084,85,OFF
186205,85,OFF
186327,90,OFF
186447,85,OFF
186569,90,OFF
186690,85,OFF
186811,85,OFF
186933,85,OFF
187054,85,OFF
187174,90,OFF
187296,85,OFF
187417,90,OFF
187538,90,OFF
187660,85,OFF
187781,85,OFF
187902,85,OFF
